,Area,Perimeter,MajorAxisLength,MinorAxisLength,ConvexArea,EquivDiameter,roundness,ShapeFactor1,
[,32433,653.76,219.8366971,188.0092368,32775,203.2116585,0.953586944,0.00677818,]
[,32465,653.85,225.2024494,183.6920946,32767,203.3118831,0.954265043,0.006936777,]
[,32514,649.012,221.4454899,187.1344232,32843,203.4652564,0.970006874,0.006810774,]
[,32518,651.651,221.2627854,187.2561106,32811,203.4777716,0.962284651,0.006804317,]
[,32518,655.131,220.8211992,187.6655865,32842,203.4777716,0.952088655,0.006790737,]
[,32525,663.914,225.0778556,184.2147342,33000,203.4996712,0.927264249,0.006920149,]
[,32578,657.571,227.037574,182.8423057,32901,203.6654067,0.946779791,0.006969046,]
[,32581,649.583,224.4241779,184.9234713,32851,203.6747839,0.970297635,0.006888192,]
[,32615,664.789,218.1467463,191.002277,33016,203.7810289,0.927383997,0.00668854,]
[,32622,657.009,235.2708698,177.1581895,32902,203.802896,0.949681133,0.007212031,]
[,32698,653.049,225.0141906,185.1437243,32994,204.0401594,0.963472928,0.006881589,]
[,32705,654.454,223.8758675,186.1499298,33021,204.0619987,0.959545923,0.00684531,]
[,32713,660.043,215.4163208,193.4864621,33020,204.0869551,0.943595321,0.006585037,]
[,32729,656.679,214.2657207,194.793825,33066,204.1368587,0.953753937,0.006546663,]
[,32774,660.614,222.8700513,187.4792477,33120,204.2771471,0.943721321,0.006800209,]
[,32775,649.807,220.0250995,189.8094038,33062,204.2802636,0.975402341,0.006713199,]
[,32795,651.03,225.2102521,185.6002312,33091,204.3425821,0.972334053,0.006867213,]
[,32796,654.824,223.1453687,187.4192621,33111,204.3456976,0.961128742,0.006804042,]
[,32799,653.729,219.9055494,190.1123396,33087,204.3550436,0.964439446,0.006704642,]
[,32829,658.101,221.5995,189.0026275,33154,204.4484801,0.952538233,0.006750114,]
[,32836,669.19,218.4060038,191.7587728,33225,204.4702758,0.92142762,0.006651419,]
[,32849,664.105,230.7223076,181.7436855,33245,204.5107474,0.935962647,0.007023724,]
[,32870,655.512,220.3581629,190.0206598,33198,204.5761077,0.961276389,0.00670393,]
[,32885,659.728,227.0674037,184.5596932,33225,204.6227808,0.949462632,0.006904893,]
[,32920,671.612,219.0931338,191.4622125,33376,204.7316434,0.917134004,0.00665532,]
[,32925,656.646,225.1281702,186.4615283,33252,204.7471905,0.959562001,0.006837606,]
[,32934,668.197,221.4087308,189.6018111,33401,204.7751722,0.926926508,0.006722801,]
[,32947,668.231,209.6932927,200.2495993,33336,204.8155836,0.927198033,0.006364564,]
[,32951,688.26,226.6490462,185.5215755,33524,204.8280162,0.874124721,0.006878366,]
[,32988,676.797,224.7517099,187.1772945,33461,204.9429826,0.905000877,0.006813135,]
[,33006,669.769,223.5277491,188.2429412,33458,204.9988888,0.924597414,0.006772337,]
[,33010,665.85,224.9712592,186.8900915,33374,205.0113104,0.935626643,0.006815246,]
[,33013,652.684,223.7818539,188.0291423,33289,205.020626,0.973842946,0.006778598,]
[,33019,655.703,224.4502114,187.5026272,33340,205.0392561,0.965071386,0.006797608,]
[,33051,663.071,218.9513714,192.4739417,33423,205.1385878,0.94465755,0.006624652,]
[,33058,655.511,224.4458788,187.8781612,33320,205.1603102,0.96677736,0.006789457,]
[,33062,667.966,222.0391436,189.7813412,33439,205.1727219,0.931172778,0.006715841,]
[,33078,659.456,235.5600775,178.9312328,33333,205.2223615,0.955822961,0.007121352,]
[,33078,652.214,221.3869025,190.3548121,33327,205.2223615,0.977167183,0.006692874,]
[,33089,663.915,217.3358221,194.2070489,33466,205.2564817,0.94334064,0.00656822,]
[,33090,653.809,228.406675,184.6885548,33352,205.2595833,0.972758069,0.006902589,]
[,33143,648.385,222.5263095,189.7373793,33377,205.4238989,0.9906854,0.006714127,]
[,33159,653.801,222.4440287,189.98042,33415,205.4734778,0.974810341,0.006708406,]
[,33168,680.621,234.315548,180.5827539,33542,205.5013606,0.899742964,0.007064506,]
[,33171,654.338,222.253649,190.3614532,33429,205.5106541,0.973563187,0.00670024,]
[,33194,664.658,232.3085443,182.0856017,33520,205.5818899,0.944219534,0.00699851,]
[,33236,660.788,210.8580025,200.9273673,33611,205.711909,0.956520582,0.006344265,]
[,33248,660.068,230.9698347,183.4292487,33511,205.7490422,0.958954568,0.006946879,]
[,33251,658.962,217.452163,194.9834825,33565,205.7583245,0.962263101,0.006539718,]
[,33276,704.493,234.7881384,180.705496,33857,205.8356604,0.842534348,0.00705578,]
[,33316,670.587,229.2180829,185.2793615,33699,205.9593374,0.931005952,0.00688012,]
[,33319,668.601,225.0172378,188.8365103,33732,205.9686102,0.936629385,0.006753421,]
[,33325,674.433,223.8254842,189.7357064,33701,205.9871545,0.920666621,0.006716444,]
[,33330,653.776,224.3601667,189.4313875,33580,206.0026068,0.979912348,0.006731478,]
[,33333,679.262,220.5312914,192.7167056,33834,206.0118777,0.907840655,0.006616005,]
[,33338,659.103,232.2637945,182.9185092,33639,206.0273281,0.964368085,0.006966938,]
[,33344,661.508,225.3180561,188.668526,33692,206.0458672,0.957540959,0.006757379,]
[,33382,659.434,222.8701044,190.920249,33730,206.1632423,0.964671718,0.006676356,]
[,33399,664.701,221.5599425,192.0898879,33752,206.2157306,0.949927944,0.00663373,]
[,33421,654.804,219.5440823,194.0253903,33691,206.2836368,0.979504999,0.006569046,]
[,33423,659.036,224.1680528,189.9810797,33707,206.289809,0.967023472,0.006707,]
[,33427,665.61,228.223182,186.6258656,33789,206.3021528,0.948129347,0.00682751,]
[,33429,658.605,229.4460905,185.6980934,33713,206.3083245,0.968463377,0.006863684,]
[,33431,666.841,219.9074077,193.6804685,33788,206.3144959,0.94474509,0.006577949,]
[,33433,657.349,225.0025125,189.5660154,33708,206.3206672,0.972284135,0.006729953,]
[,33446,656.077,224.2339338,190.2565986,33713,206.3607759,0.97643744,0.006704357,]
[,33447,664.412,226.1186154,188.7406408,33791,206.3638608,0.952120901,0.006760505,]
[,33459,655.414,219.1299474,194.5431002,33765,206.4008768,0.978794213,0.006549208,]
[,33468,659.987,224.4599389,189.9543464,33748,206.4286344,0.965536869,0.006706703,]
[,33498,657.523,227.9380769,187.3160543,33745,206.5211327,0.973658914,0.006804528,]
[,33534,657.067,218.8447518,195.1928536,33793,206.6320761,0.976058644,0.006526056,]
[,33538,658.284,227.5186814,187.9440519,33800,206.6443995,0.972569007,0.006783907,]
[,33539,662.418,223.6835362,191.2006021,33915,206.6474802,0.96049636,0.006669356,]
[,33547,653.512,213.7540709,199.9257014,33832,206.6721244,0.987089244,0.006371779,]
[,33560,669.259,227.9361768,187.8565921,33897,206.7121649,0.941549974,0.0067919,]
[,33576,666.339,224.5887253,190.4630178,33927,206.7614349,0.950272923,0.006688966,]
[,33583,657.754,221.7110512,192.9504091,33868,206.7829868,0.975444036,0.006601883,]
[,33584,658.848,223.7351826,191.3544824,33884,206.7860655,0.972236276,0.006661958,]
[,33607,690.171,214.7652972,199.5241432,34162,206.8568621,0.886596875,0.006390493,]
[,33620,670.224,222.7760833,192.2260318,34012,206.8968668,0.940519106,0.006626296,]
[,33623,659.408,217.371862,197.0837827,33918,206.9060976,0.97171275,0.006464975,]
[,33631,669.076,224.8894003,190.753366,34009,206.9307109,0.94405814,0.006686967,]
[,33639,663.03,224.6629064,190.8531005,33919,206.9553214,0.961582569,0.006678644,]
[,33717,664.363,231.6225255,185.6531262,33985,207.1951199,0.959948457,0.006869607,]
[,33731,671.696,231.1720126,186.1264562,34073,207.2381313,0.939493017,0.006853399,]
[,33736,655.729,221.390268,194.1359516,33988,207.2534904,0.985949497,0.006562434,]
[,33794,665.826,218.999894,196.5777218,34127,207.4315723,0.957917183,0.006480437,]
[,33809,669.341,230.2474971,187.1642998,34143,207.4776031,0.948303455,0.006810243,]
[,33824,656.339,220.7538648,195.2815454,34079,207.5236236,0.986684731,0.006526545,]
[,33838,661.029,222.9735137,193.4836383,34146,207.5665669,0.973135967,0.006589441,]
[,33845,670.945,226.3816048,190.5214245,34159,207.5880353,0.944779673,0.006688775,]
[,33849,669.571,221.610481,194.6713489,34239,207.6003019,0.948773259,0.006547032,]
[,33858,664.46,234.3350014,184.1392916,34142,207.6278992,0.963681409,0.006921112,]
[,33860,683.315,225.5350154,191.5211613,34319,207.6340314,0.911286442,0.00666081,]
[,33864,662.898,221.2164258,195.0635178,34167,207.6462953,0.968399824,0.006532495,]
[,33866,668.421,230.9311586,186.8608751,34171,207.652427,0.952518888,0.006818968,]
[,33876,666.966,228.1491732,189.1647868,34211,207.6830826,0.95696179,0.006734832,]
[,33930,666.214,224.1509688,192.8605622,34251,207.8485452,0.960652272,0.006606277,]
[,33946,667.313,231.5425397,187.0289921,34246,207.8975459,0.957942188,0.006820908,]
[,33946,668.564,234.754845,184.2937385,34280,207.8975459,0.954360587,0.006915538,]
[,33961,690.353,238.1924989,181.6542972,34379,207.9434735,0.895463526,0.007013707,]
[,33961,667.497,233.113834,185.7332978,34279,207.9434735,0.957837195,0.006864163,]
[,33969,666.389,222.3618326,194.7690372,34260,207.9679641,0.961251403,0.006546022,]
[,33972,672.812,232.9882693,185.9156247,34349,207.9771473,0.943069114,0.006858244,]
[,33993,669.092,219.7505747,197.0923214,34299,208.0414186,0.954174231,0.006464583,]
[,33996,663.743,223.0963581,194.3808765,34285,208.0505986,0.969700851,0.00656243,]
[,34004,659.963,229.0597505,189.1650397,34277,208.0750765,0.981071581,0.006736259,]
[,34027,670.16,231.6577053,187.4123657,34334,208.1454347,0.952086748,0.006808056,]
[,34036,666.067,226.9280102,191.1104706,34369,208.1729597,0.964078826,0.006667294,]
[,34051,677.272,227.6209458,190.6640036,34502,208.2188266,0.932853601,0.006684707,]
[,34053,671.582,232.4361441,186.7914403,34362,208.2249414,0.948783552,0.006825717,]
[,34060,662.146,220.4383774,196.882203,34367,208.2463418,0.976218398,0.00647206,]
[,34082,668.346,230.626947,188.3912829,34364,208.3135861,0.958809282,0.006766826,]
[,34097,680.595,227.819142,190.8101712,34502,208.359422,0.925014467,0.006681501,]
[,34104,667.289,229.478736,189.5440417,34421,208.3808087,0.962470112,0.006728792,]
[,34113,673.914,221.2423662,196.5103818,34492,208.4083026,0.943888774,0.006485573,]
[,34130,666.585,235.5413478,184.7780345,34392,208.4602256,0.965239485,0.006901299,]
[,34131,668.091,224.3380186,193.8042127,34473,208.4632795,0.960920889,0.006572852,]
[,34151,674.271,231.5136009,188.035623,34580,208.524348,0.943939862,0.006779116,]
[,34151,662.129,226.5248185,192.2363364,34389,208.524348,0.978876878,0.006633036,]
[,34179,677.064,225.0605017,193.5928928,34576,208.6098138,0.936935665,0.00658476,]
[,34191,661.403,223.9809149,194.474673,34445,208.6464313,0.982176064,0.006550873,]
[,34207,668.737,228.0324687,191.4154535,34515,208.6952446,0.961200851,0.006666252,]
[,34207,661.138,226.8735177,192.1947081,34421,208.6952446,0.983423569,0.006632371,]
[,34220,677.527,233.1830193,186.9591042,34577,208.734897,0.936777941,0.006814232,]
[,34222,671.994,223.2982638,195.2383681,34576,208.7409967,0.95232341,0.006524992,]
[,34239,666.439,232.6862934,187.7243461,34510,208.792837,0.968746459,0.006795943,]
[,34246,684.324,229.9085042,189.9911444,34732,208.8141792,0.91895908,0.006713441,]
[,34253,672.539,228.0042799,191.3685323,34556,208.8355193,0.951641846,0.006656476,]
[,34254,668.704,223.9688286,194.9291861,34575,208.8385677,0.962616531,0.006538472,]
[,34259,676.402,227.5449241,191.8680382,34623,208.8538091,0.940967839,0.006641902,]
[,34276,689.626,229.5589772,190.4115066,34738,208.9056214,0.905675761,0.006697368,]
[,34291,671.507,230.658067,189.6239312,34619,208.9513274,0.955628131,0.00672649,]
[,34313,671.844,220.9339754,198.103852,34600,209.0183449,0.955282162,0.006438783,]
[,34321,669.531,227.9958451,191.8273267,34652,209.0427095,0.962118171,0.006643042,]
[,34327,677.311,231.1581283,189.3043718,34714,209.0609812,0.940306539,0.006734003,]
[,34333,665.686,229.2148642,190.8718701,34592,209.0792512,0.973604944,0.006676226,]
[,34337,667.785,229.8067605,190.6295846,34583,209.0914304,0.967606759,0.006692686,]
[,34349,674.863,238.2312433,183.7249369,34645,209.1279635,0.947747671,0.006935609,]
[,34390,680.24,245.0146708,178.97451,34759,209.252737,0.933937272,0.007124591,]
[,34394,669.762,230.9211333,189.9052632,34730,209.264906,0.963499612,0.006713995,]
[,34395,665.156,231.7171471,189.1898259,34638,209.2679482,0.97691809,0.006736943,]
[,34397,678.85,229.7747022,190.931594,34776,209.2740324,0.937956691,0.00668008,]
[,34410,684.481,232.4579361,188.9396293,34802,209.3135751,0.92293633,0.006755534,]
[,34412,667.199,233.9589857,187.3982909,34677,209.319658,0.971424393,0.006798762,]
[,34419,687.797,224.1432457,195.6151627,34885,209.3409465,0.914297554,0.006512195,]
[,34421,678.034,232.4039146,189.1497475,34762,209.3470286,0.940871694,0.006751806,]
[,34425,680.503,232.6456666,188.5544051,34791,209.3591921,0.934165286,0.006758044,]
[,34428,688.178,229.7324979,191.3790717,34908,209.3683143,0.913524268,0.006672839,]
[,34441,675.683,228.6978291,191.9152031,34826,209.4078393,0.947980998,0.006640278,]
[,34443,684.507,234.60733,187.5726238,34874,209.4139194,0.923751269,0.006811466,]
[,34447,682.912,225.0874113,195.3291753,34853,209.4260791,0.928179091,0.006534311,]
[,34461,675.775,246.7254393,178.1577837,34691,209.4686324,0.948273245,0.007159555,]
[,34469,666.834,230.1579705,190.9936711,34747,209.4929447,0.974098956,0.006677245,]
[,34474,672.3,225.6494093,194.6503481,34774,209.5081384,0.958462926,0.006545495,]
[,34475,677.676,241.0431821,182.3691135,34878,209.511177,0.943343645,0.006991825,]
[,34483,687.567,233.7407243,188.5878665,35051,209.5354844,0.916610562,0.006778434,]
[,34491,674.657,233.182837,188.5763657,34829,209.5597889,0.952246946,0.006760686,]
[,34503,678.24,236.5446412,185.8927694,34885,209.5962405,0.94254029,0.00685577,]
[,34509,668.332,230.3294856,190.9197413,34776,209.6144638,0.970862501,0.006674476,]
[,34521,667.908,224.7553177,195.6829765,34830,209.6509059,0.972433566,0.006510684,]
[,34523,673.987,231.9170486,189.734176,34878,209.6569789,0.955026346,0.006717755,]
[,34532,689.551,217.0221026,202.7149085,35057,209.6843055,0.912638553,0.006284666,]
[,34543,670.896,235.0180104,187.2911352,34826,209.7176998,0.964405129,0.006803636,]
[,34543,669.456,226.9754434,193.972557,34827,209.7176998,0.968558463,0.006570809,]
[,34594,670.069,233.4408877,188.8659908,34848,209.8724584,0.968214523,0.006748017,]
[,34600,673.252,231.4349165,190.4578223,34919,209.8906578,0.959247461,0.00668887,]
[,34601,685.556,226.5195392,194.7187568,35048,209.8936909,0.925151042,0.006546618,]
[,34622,683.382,235.9288048,187.0530848,35010,209.9573755,0.931611724,0.006814419,]
[,34623,675.213,228.1943707,193.5033005,34965,209.9604076,0.954317679,0.006590832,]
[,34626,667.845,231.8884211,190.4682829,34913,209.9695037,0.975575378,0.006696945,]
[,34629,670.997,233.1312208,189.6828749,34915,209.9785994,0.966515131,0.006732254,]
[,34631,670.02,229.3367837,192.4014026,34953,209.9846629,0.969391848,0.006622297,]
[,34635,667.638,227.0632245,194.4152197,34929,209.9967896,0.976434152,0.006555889,]
[,34638,677.314,234.6904502,188.3397997,34989,210.0058841,0.948817239,0.00677552,]
[,34666,681.015,225.7926672,195.8277652,35034,210.0907472,0.939291173,0.006513375,]
[,34671,674.874,235.5895195,187.6497244,35015,210.1058977,0.956601017,0.006795002,]
[,34676,668.424,226.4475067,195.193788,34982,210.1210471,0.975292284,0.006530381,]
[,34680,669.575,231.2624473,191.2410961,34941,210.1331659,0.972054226,0.006668467,]
[,34700,690.412,233.6301362,189.501815,35154,210.1937492,0.914792671,0.006732857,]
[,34703,676.387,230.7693155,191.7626609,35025,210.2028352,0.953205151,0.006649838,]
[,34722,670.391,227.2593515,194.7318627,34999,210.2603707,0.970863662,0.006545111,]
[,34729,671.193,228.8102714,193.6576351,35043,210.281564,0.968740162,0.00658845,]
[,34733,670.564,228.3272478,193.8600236,35019,210.2936735,0.97067019,0.006573784,]
[,34747,672.202,234.5404192,188.725983,35043,210.3360513,0.966334706,0.006749947,]
[,34748,669.267,221.0904959,200.2691414,35046,210.3390779,0.974856864,0.006362683,]
[,34750,675.599,223.1988366,198.5282098,35091,210.3451311,0.956724018,0.006422988,]
[,34757,686.779,231.22987,191.6720331,35150,210.3663159,0.926015239,0.006652757,]
[,34761,687.872,229.7370214,192.8875726,35171,210.3784205,0.92318101,0.006609045,]
[,34766,669.475,232.1753322,190.9940473,35054,210.3935503,0.974755876,0.00667823,]
[,34771,683.109,230.5865191,192.1855584,35163,210.408679,0.936369007,0.006631576,]
[,34772,671.947,228.0476746,194.336638,35103,210.4117046,0.967764075,0.006558371,]
[,34774,677.726,228.5222155,193.96029,35139,210.4177557,0.951384824,0.00657164,]
[,34787,677.348,230.8566379,192.6459316,35126,210.4570836,0.952803043,0.006636291,]
[,34792,692.19,228.0326605,194.3385831,35231,210.4722078,0.912512069,0.006554169,]
[,34794,693.537,237.4905508,186.9933377,35187,210.4782571,0.909023168,0.006825618,]
[,34794,671.293,236.6108792,187.4231531,35052,210.4782571,0.970264152,0.006800336,]
[,34800,671.796,226.6361886,195.613827,35120,210.4964041,0.968978812,0.006512534,]
[,34841,675.857,231.9569641,191.6112724,35137,210.620367,0.958497188,0.006657586,]
[,34841,670.201,223.7224915,198.5307932,35122,210.620367,0.974743466,0.006421242,]
[,34847,686.633,236.4262236,188.0626579,35229,210.6385017,0.928807931,0.006784694,]
[,34850,674.295,230.4335815,192.7521882,35119,210.6475685,0.96319178,0.006612154,]
[,34865,680,224.8250921,197.677632,35256,210.6928967,0.947505431,0.006448447,]
[,34878,671.541,225.4135036,197.1479559,35188,210.7321732,0.971888339,0.006462914,]
[,34878,679.271,229.2969816,193.9498701,35217,210.7321732,0.949894318,0.006574258,]
[,34879,689.973,236.1931301,188.3981624,35298,210.7351942,0.920682093,0.006771786,]
[,34879,675.467,223.8000145,198.8687463,35258,210.7351942,0.960650949,0.006416469,]
[,34882,680.065,234.5232449,189.5311789,35219,210.7442569,0.947786227,0.006723331,]
[,34883,672.664,232.3224642,191.4684387,35182,210.7472777,0.968784811,0.006660048,]
[,34895,677.7,225.3698384,197.2329239,35227,210.7835238,0.954768529,0.006458514,]
[,34911,677.462,235.2555984,189.2799888,35252,210.8318423,0.955877575,0.006738724,]
[,34911,670.061,232.3946574,191.3768711,35204,210.8318423,0.977110029,0.006656775,]
[,34912,676.03,230.3106061,193.1139792,35245,210.8348619,0.959958935,0.006596889,]
[,34924,816.638,258.3197875,181.6399258,37992,210.871093,0.658073911,0.007396627,]
[,34934,687.791,230.1591986,193.7172105,35445,210.9012808,0.927994074,0.006588401,]
[,34936,682.571,232.0235561,192.0522539,35353,210.9073179,0.942296065,0.006641389,]
[,34945,675.172,234.9899023,189.5541679,35231,210.9344825,0.963309985,0.006724564,]
[,34958,672.491,231.2618911,192.6081255,35254,210.973714,0.971367322,0.006615421,]
[,34960,681.462,237.5611221,187.9510512,35342,210.979749,0.946014953,0.006795227,]
[,34968,673.319,238.1086753,187.1376478,35218,211.0038872,0.969256937,0.006809331,]
[,34968,750.395,242.822452,184.3295472,35858,211.0038872,0.780370411,0.006944133,]
[,34971,673.194,235.0015866,189.6894581,35269,211.0129383,0.969700104,0.006719899,]
[,34980,675.203,233.0086827,191.3427601,35276,211.0400893,0.96418627,0.006661197,]
[,34995,679.687,236.9907334,188.1316847,35298,211.0853331,0.951914484,0.006772131,]
[,35022,670.696,231.8361853,192.6036331,35293,211.1667477,0.978361547,0.00661973,]
[,35031,675.649,232.0680178,192.5367815,35369,211.1938789,0.964317665,0.006624647,]
[,35042,676.65,225.6145213,197.8959341,35380,211.2270346,0.961768562,0.006438403,]
[,35049,679.396,228.9631987,195.0752162,35349,211.2481309,0.954200246,0.00653266,]
[,35059,671.731,230.0316108,194.3218141,35314,211.2782649,0.976379396,0.006561271,]
[,35062,701.948,223.2641008,200.2523714,35579,211.2873042,0.894204122,0.006367694,]
[,35066,674.509,229.0391713,195.1179759,35356,211.2993561,0.968546765,0.006531659,]
[,35069,692.225,234.2366519,191.2138075,35563,211.3083945,0.919684117,0.006679308,]
[,35081,677.561,234.7952752,190.5792388,35395,211.3445445,0.960251575,0.006692947,]
[,35083,687.873,229.6498757,194.93395,35513,211.3505688,0.931729962,0.006545902,]
[,35083,685.515,227.9847727,196.1941843,35477,211.3505688,0.938150821,0.00649844,]
[,35085,693.747,245.9349428,181.8560113,35658,211.3565931,0.916070945,0.007009689,]
[,35087,678.15,237.2938758,188.4922823,35477,211.3626171,0.958748216,0.006763014,]
[,35091,688.22,225.8521795,197.988503,35466,211.3746647,0.931002892,0.006436185,]
[,35091,685.847,232.5036811,192.6269167,35452,211.3746647,0.937456494,0.006625735,]
[,35105,687.922,232.3755601,192.4946821,35508,211.4168258,0.932181424,0.006619443,]
[,35106,688.658,231.1126201,193.5514908,35503,211.419837,0.930216457,0.00658328,]
[,35106,680.346,234.3642027,191.0105524,35445,211.419837,0.953084795,0.006675902,]
[,35122,679.818,231.7962315,193.1433259,35481,211.4680101,0.955000906,0.006599745,]
[,35123,685.227,233.2248862,192.0042077,35457,211.4710205,0.940010129,0.006640233,]
[,35128,669.663,228.4024536,195.966868,35376,211.4860722,0.984352571,0.006502006,]
[,35130,678.016,239.1831502,187.1601061,35473,211.4920925,0.960302653,0.006808516,]
[,35131,684.17,234.5230255,190.924541,35466,211.4951027,0.943131656,0.006675672,]
[,35134,668.885,226.2664317,197.955771,35360,211.5041327,0.986812285,0.006440099,]
[,35145,681.083,243.7645848,183.7065283,35444,211.5372397,0.952079756,0.006935968,]
[,35149,682.373,238.9292213,187.4223342,35509,211.5492774,0.948591369,0.006797611,]
[,35162,673.468,230.2302104,194.6424568,35450,211.5883949,0.974203092,0.0065477,]
[,35165,676.072,232.8834611,192.3850785,35463,211.597421,0.966795425,0.006622592,]
[,35175,706.545,226.7972341,197.6791575,35707,211.6275053,0.885450557,0.006447683,]
[,35176,680.437,235.7913399,190.0240087,35499,211.6305135,0.954729791,0.006703188,]
[,35208,678.529,232.2855372,193.4634694,35535,211.7267529,0.960980094,0.006597522,]
[,35221,674.683,237.2809781,189.1299913,35484,211.7658377,0.972326252,0.006736918,]
[,35223,674.287,231.2689629,194.31596,35537,211.7718501,0.973523935,0.006565851,]
[,35237,676.073,233.9276146,192.0229569,35502,211.8139321,0.968772063,0.006638693,]
[,35246,683.282,240.0903587,186.9855135,35599,211.8409804,0.948679991,0.006811847,]
